#                                                                        
#   isolation efficiencies for data on the left and MC on the right                                                                       
#      MC: MG+Py8                                                                   
#                                                                        
#
# 
#    
#                                                 data                                                      MC
# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                                                eff          deff_high       deff_low
-2.4    -2.1    120     200     0.980114        0.0149779        0.0174156                                               1       0        0.0210335
-2.1    -1.6    120     200     0.985602        0.00477203       0.00614293                                               0.992336        0.00467695       0.00690681
-1.6    -1.2    120     200     0.999871        0.0403023        0.0403023                                               0.983519        0.00630693       0.00844412
-1.2    -0.8    120     200     0.990392        0.00380306       0.00475724                                               0.995902        0.00409777       0.00959893
-0.8    -0.3    120     200     0.984135        0.00473274       0.00539296                                               0.988915        0.00568104       0.00738152
-0.3    0.3     120     200     0.99221         0.00312959       0.00375045                                               0.983233        0.0163468        0.00645905
0.3     0.8     120     200     0.994287        0.00263642       0.00329555                                               0.986649        0.00519613       0.00650234
0.8     1.2     120     200     0.991696        0.00496296       0.00609059                                               0.992024        0.00424184       0.00592948
1.2     1.6     120     200     0.989591        0.00517504       0.00603255                                               0.996243        0.00238653       0.00422777
1.6     2.1     120     200     0.984199        0.0054848        0.0067176                                                 0.995137        0.0030315        0.00529889
2.1     2.4     120     200     0.987552        0.00709358       0.011119                                                 1       0        0.0159243
